Model,Accuracy,Precision,Recall,F1,ROC-AUC,5-Fold CV Accuracy,Train Time (s),Predict Time (ms)
Logistic Regression,0.8021352313167259,0.660958904109589,0.5188172043010753,0.5813253012048193,0.839057083970896,0.8054 ± 0.0102,0.04170727729797363,2.3107528686523438
XGBoost,0.7943060498220641,0.6466431095406361,0.49193548387096775,0.5587786259541985,0.8386407165682999,0.8016 ± 0.0118,0.19366908073425293,5.001544952392578
Random Forest,0.7829181494661922,0.6200716845878136,0.4650537634408602,0.5314900153609831,0.8190102946840292,0.7918 ± 0.0073,1.3809401988983154,51.50890350341797
Decision Tree,0.7259786476868327,0.48179271708683474,0.46236559139784944,0.4718792866941015,0.6427411547949912,0.7254 ± 0.0055,0.04977989196777344,2.1936893463134766
