Metric,Before,After
Accuracy,0.8021352313167259,0.7423487544483985
Precision,0.660958904109589,0.5088028169014085
Recall,0.5188172043010753,0.7768817204301075
F1,0.5813253012048193,0.6148936170212767
ROC-AUC,0.839057083970896,0.8387630244928124
