Threshold,Accuracy,Precision,Recall,F1
0.01,0.301067615658363,0.27474150664697194,1.0,0.43105446118192353
0.02,0.3402135231316726,0.28604471858134156,0.9973118279569892,0.4445775913720791
0.03,0.36725978647686836,0.2946783161239079,0.9973118279569892,0.45493562231759654
0.04,0.38861209964412813,0.3015484922575387,0.9946236559139785,0.4627892432770482
0.05,0.40640569395017795,0.30782029950083195,0.9946236559139785,0.4701397712833545
0.060000000000000005,0.42704626334519574,0.3154305200341006,0.9946236559139785,0.47896440129449835
0.06999999999999999,0.4398576512455516,0.3203463203463203,0.9946236559139785,0.48461034708578915
0.08,0.4533807829181495,0.3250883392226148,0.989247311827957,0.48936170212765956
0.09,0.46619217081850534,0.3303411131059246,0.989247311827957,0.4952893674293405
0.09999999999999999,0.4761565836298932,0.3342440801457195,0.9865591397849462,0.4993197278911565
0.11,0.48398576512455516,0.33702677746999077,0.9811827956989247,0.5017182130584192
0.12,0.498220640569395,0.34307257304429783,0.978494623655914,0.5080251221214236
0.13,0.5060498220640569,0.3466666666666667,0.978494623655914,0.5119549929676512
0.14,0.5160142348754448,0.35106382978723405,0.9758064516129032,0.5163584637268848
0.15000000000000002,0.5288256227758007,0.35700197238658776,0.9731182795698925,0.5223665223665224
0.16,0.5402135231316726,0.3627254509018036,0.9731182795698925,0.5284671532846715
0.17,0.5537366548042705,0.3694984646878199,0.9704301075268817,0.5352112676056338
0.18000000000000002,0.5701067615658363,0.37840670859538783,0.9704301075268817,0.5444947209653092
0.19,0.5765124555160143,0.382010582010582,0.9704301075268817,0.548215641609719
0.2,0.5871886120996441,0.3879310344827586,0.967741935483871,0.5538461538461539
0.21000000000000002,0.5928825622775801,0.39082969432314413,0.9623655913978495,0.5559006211180124
0.22,0.602135231316726,0.3964562569213732,0.9623655913978495,0.5615686274509804
0.23,0.6056939501779359,0.3984375,0.9596774193548387,0.5630914826498423
0.24000000000000002,0.6128113879003558,0.40293453724604966,0.9596774193548387,0.5675675675675675
0.25,0.6163701067615658,0.4052213393870602,0.9596774193548387,0.5698324022346368
0.26,0.6192170818505338,0.40642939150401836,0.9516129032258065,0.5695897023330652
0.27,0.6270462633451958,0.4114219114219114,0.9489247311827957,0.5739837398373984
0.28,0.6334519572953736,0.41578327444051827,0.9489247311827957,0.5782145782145782
0.29000000000000004,0.6405693950177936,0.42035928143712575,0.9435483870967742,0.5816072908036454
0.3,0.6448398576512455,0.42284325637910086,0.9354838709677419,0.5824267782426779
0.31,0.6519572953736655,0.4276885043263288,0.9301075268817204,0.5859441151566469
0.32,0.6555160142348755,0.4298245614035088,0.9220430107526881,0.5863247863247864
0.33,0.6633451957295373,0.4355044699872286,0.9166666666666666,0.5904761904761905
0.34,0.6683274021352313,0.43896103896103894,0.9086021505376344,0.5919439579684763
0.35000000000000003,0.6725978647686833,0.442257217847769,0.9059139784946236,0.5943562610229277
0.36000000000000004,0.6797153024911032,0.44786096256684493,0.9005376344086021,0.5982142857142857
0.37,0.6896797153024911,0.45604395604395603,0.8924731182795699,0.6036363636363636
0.38,0.696085409252669,0.46088193456614507,0.8709677419354839,0.6027906976744186
0.39,0.702491103202847,0.4667630057803468,0.8682795698924731,0.6071428571428571
0.4,0.7067615658362989,0.47050147492625366,0.8575268817204301,0.6076190476190476
0.41000000000000003,0.7074733096085409,0.47085201793721976,0.8467741935483871,0.6051873198847262
0.42000000000000004,0.7103202846975089,0.473604826546003,0.8440860215053764,0.6067632850241546
0.43,0.7174377224199289,0.4806201550387597,0.8333333333333334,0.6096361848574238
0.44,0.7209964412811388,0.48417721518987344,0.8225806451612904,0.6095617529880478
0.45,0.7245551601423488,0.48796147672552165,0.8172043010752689,0.6110552763819096
0.46,0.7295373665480427,0.4934426229508197,0.8091397849462365,0.6130346232179226
0.47000000000000003,0.7316725978647687,0.49584026622296173,0.8010752688172043,0.6125385405960946
0.48000000000000004,0.7359430604982207,0.5008488964346349,0.793010752688172,0.6139438085327783
0.49,0.7387900355871886,0.5043177892918825,0.7849462365591398,0.6140904311251314
0.5,0.7423487544483985,0.5088028169014085,0.7768817204301075,0.6148936170212767
0.51,0.7416370106761566,0.5080789946140036,0.760752688172043,0.6092572658772875
0.52,0.7480427046263345,0.5164835164835165,0.7580645161290323,0.6143790849673203
0.53,0.7508896797153025,0.5205223880597015,0.75,0.6145374449339207
0.54,0.7537366548042704,0.5248091603053435,0.739247311827957,0.6138392857142857
0.55,0.7587188612099645,0.5322896281800391,0.7311827956989247,0.6160815402038505
0.56,0.7615658362989324,0.5370741482965932,0.7204301075268817,0.6153846153846154
0.5700000000000001,0.7637010676156584,0.5408163265306123,0.7123655913978495,0.6148491879350348
0.5800000000000001,0.7644128113879004,0.5424430641821946,0.7043010752688172,0.6128654970760234
0.59,0.7686832740213523,0.5498938428874734,0.696236559139785,0.6144721233689205
0.6,0.7693950177935943,0.5517241379310345,0.6881720430107527,0.6124401913875598
0.61,0.7722419928825622,0.5567685589519651,0.6854838709677419,0.6144578313253012
0.62,0.7736654804270463,0.5602678571428571,0.6747311827956989,0.6121951219512195
0.63,0.7758007117437722,0.5652173913043478,0.6639784946236559,0.6106304079110012
0.64,0.7765124555160142,0.569047619047619,0.6424731182795699,0.6035353535353535
0.65,0.7814946619217081,0.5802469135802469,0.6317204301075269,0.6048906048906049
0.66,0.7836298932384341,0.5867346938775511,0.6182795698924731,0.6020942408376964
0.67,0.7814946619217081,0.5862068965517241,0.5940860215053764,0.5901201602136181
0.68,0.7836298932384341,0.5944444444444444,0.5752688172043011,0.5846994535519126
0.6900000000000001,0.7900355871886121,0.6109510086455331,0.5698924731182796,0.5897079276773296
0.7000000000000001,0.7935943060498221,0.6205882352941177,0.5672043010752689,0.5926966292134831
0.7100000000000001,0.798576512455516,0.6377708978328174,0.553763440860215,0.5928057553956835
0.72,0.797153024911032,0.6416938110749185,0.5295698924731183,0.5802650957290133
0.73,0.8,0.6552901023890785,0.5161290322580645,0.5774436090225564
0.74,0.801423487544484,0.6631578947368421,0.5080645161290323,0.5753424657534246
0.75,0.801423487544484,0.6678700361010831,0.49731182795698925,0.5701078582434514
0.76,0.8,0.6730038022813688,0.47580645161290325,0.5574803149606299
0.77,0.798576512455516,0.678714859437751,0.4543010752688172,0.5442834138486312
0.78,0.8021352313167259,0.7043478260869566,0.43548387096774194,0.5382059800664452
0.79,0.799288256227758,0.7122641509433962,0.40591397849462363,0.5171232876712328
0.8,0.7921708185053381,0.7040816326530612,0.3709677419354839,0.4859154929577465
0.81,0.7864768683274022,0.6956521739130435,0.34408602150537637,0.460431654676259
0.8200000000000001,0.7786476868327402,0.6826347305389222,0.3064516129032258,0.4230055658627087
0.8300000000000001,0.7793594306049823,0.7123287671232876,0.27956989247311825,0.4015444015444015
0.8400000000000001,0.7786476868327402,0.7401574803149606,0.25268817204301075,0.37675350701402804
0.85,0.7722419928825622,0.7321428571428571,0.22043010752688172,0.33884297520661155
0.86,0.7679715302491104,0.7446808510638298,0.1881720430107527,0.30042918454935624
0.87,0.7615658362989324,0.7534246575342466,0.1478494623655914,0.24719101123595505
0.88,0.7572953736654804,0.7627118644067796,0.12096774193548387,0.2088167053364269
0.89,0.7516014234875444,0.7674418604651163,0.08870967741935484,0.15903614457831325
0.9,0.7480427046263345,0.8214285714285714,0.06182795698924731,0.115
0.91,0.7430604982206406,0.8235294117647058,0.03763440860215054,0.07197943444730077
0.92,0.7402135231316725,1.0,0.01881720430107527,0.036939313984168866
0.93,0.7380782918149467,1.0,0.010752688172043012,0.02127659574468085
0.9400000000000001,0.7366548042704626,1.0,0.005376344086021506,0.0106951871657754
0.9500000000000001,0.7352313167259786,0.0,0.0,0.0
0.9600000000000001,0.7352313167259786,0.0,0.0,0.0
0.97,0.7352313167259786,0.0,0.0,0.0
0.98,0.7352313167259786,0.0,0.0,0.0
0.99,0.7352313167259786,0.0,0.0,0.0
